Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,shot_direction,shot_curvature,shot_type
2022-11-29 17:05:35,Rok,SW XXIO eleven,Sand Wedge,0.0,0.0,0.0,0.0,0.0,43.63199843,inf,28.72999954,1.45000005,3891.06005859,0.0,3891.06005859,Estimated,-0.0,1.86000001,12.64000034,1.47000003,0.31999999,18.97999954,1.46000004,0.49000001,,,1.2139546,8.89,98.6,74,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-29 17:07:09,Rok,SW XXIO eleven,Sand Wedge,0.0,0.0,0.0,0.0,0.0,42.44399874,inf,28.18000031,-1.30999994,3829.37988281,0.0,3829.37988281,Estimated,-0.0,1.69000006,11.77999973,-1.32000005,-0.27000001,17.86000061,-1.32000005,-0.41,,,1.2139546,8.89,98.6,74,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-29 17:07:20,Rok,SW XXIO eleven,Sand Wedge,53.96399857,2.39,-20.0,3.97,23.97,54.64799965,1.01267514,27.13999939,0.75999999,3895.51147461,-951.78442383,4010.10009766,Estimated,13.72999954,2.70000005,19.20999908,1.95000005,0.64999998,24.45000076,2.20000005,0.94,,,1.2139546,8.89,98.6,74,STRAIGHT,SLICE,STRAIGHT_SLICE
2022-11-29 17:07:33,Rok,SW XXIO eleven,Sand Wedge,50.75999866,0.0,0.0,0.0,0.0,53.92799692,1.06241132,22.5,-0.43000001,3586.30004883,0.0,3586.30004883,Estimated,-0.0,1.88999999,16.72999954,-0.43000001,-0.13,21.97999954,-0.43000001,-0.17,,,1.2139546,8.89,98.6,74,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-29 17:08:16,Rok,SW XXIO eleven,Sand Wedge,0.0,0.0,0.0,0.0,0.0,49.13999732,inf,24.43000031,-5.05000019,3743.16992188,0.0,3743.16992188,Estimated,-0.0,1.78999996,14.72000027,-5.0999999,-1.30999994,20.68000031,-5.09000015,-1.83000004,,,1.2139546,8.89,98.6,74,PULL,NEUTRAL,PULL
2022-11-29 17:08:39,Rok,SW XXIO eleven,Sand Wedge,0.0,0.0,0.0,0.0,0.0,48.88799843,inf,22.94000053,10.21000004,3619.94995117,0.0,3619.94995117,Estimated,-0.0,1.58000004,13.94999981,10.31000042,2.5,20.54000092,10.27999973,3.67000008,,,1.2139546,8.89,98.6,74,PUSH,NEUTRAL,PUSH
2022-11-29 17:09:00,Rok,SW XXIO eleven,Sand Wedge,42.04799889,0.0,0.0,0.0,0.0,48.27599817,1.14811643,24.12999916,-3.73000002,3559.62988281,0.0,3559.62988281,Estimated,-0.0,1.69000006,14.01000023,-3.75999999,-0.92000002,20.5,-3.75,-1.34000003,,,1.2139546,8.89,98.6,74,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-29 17:09:27,Rok,SW XXIO eleven,Sand Wedge,40.53599893,0.0,0.0,0.0,0.0,41.76000027,1.03019542,8.06999969,-8.51000023,5581.77001953,0.0,5581.77001953,Measured,-0.0,0.16,4.11000013,-8.52000046,-0.61000001,9.97999954,-8.51000023,-1.48000002,,,1.2139546,8.89,98.6,74,PULL,NEUTRAL,PULL
2022-11-29 17:09:47,Rok,SW XXIO eleven,Sand Wedge,45.53999879,0.0,0.0,0.0,0.0,46.1879985,1.01422924,27.60000038,18.35000038,3879.5,0.0,3879.5,Estimated,-0.0,1.95000005,13.81000042,18.57999992,4.4000001,20.56999969,18.51000023,6.53000021,,,1.2139546,8.89,98.6,74,PUSH,NEUTRAL,PUSH
2022-11-29 17:09:57,Rok,SW XXIO eleven,Sand Wedge,0.0,0.0,0.0,0.0,0.0,21.5279995,inf,20.34000015,37.18999863,3183.5300293,0.0,3183.5300293,Estimated,-0.0,0.23,2.29999995,37.27000046,1.38999999,4.51000023,37.24000168,2.73000002,,,1.2139546,8.89,98.6,74,PUSH,NEUTRAL,PUSH
2022-11-29 17:10:13,Rok,SW XXIO eleven,Sand Wedge,50.07599867,0.0,0.0,0.0,0.0,49.46399787,0.98777856,28.42000008,-3.73000002,4075.27001953,0.0,4075.27001953,Estimated,-0.0,2.38000011,16.11000061,-3.78999996,-1.05999994,21.38999939,-3.76999998,-1.40999997,,,1.2139546,8.89,98.6,74,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-29 17:10:27,Rok,SW XXIO eleven,Sand Wedge,50.36399867,-6.25,-9.75,2.61,12.36,48.41999803,0.96140099,31.81999969,0.92000002,4310.42773438,-456.84765625,4334.56982422,Estimated,6.05000019,2.75,16.13999939,1.41999996,0.40000001,21.37999916,1.53999996,0.56999999,,,1.2139546,8.89,98.6,74,STRAIGHT,FADE,STRAIGHT_FADE
2022-11-29 17:10:41,Rok,SW XXIO eleven,Sand Wedge,51.33599864,0.0,0.0,0.0,0.0,46.36799918,0.90322581,37.90000153,3.99000001,4413.70996094,0.0,4413.70996094,Estimated,-0.0,3.3499999,15.56999969,4.09000015,1.11000001,21.02000046,4.07000017,1.49000001,,,1.2139546,8.89,98.6,74,STRAIGHT,NEUTRAL,STRAIGHT
2022-11-29 17:10:55,Rok,SW XXIO eleven,Sand Wedge,50.68799866,0.0,0.0,0.0,0.0,48.49199968,0.95667616,24.71999931,-5.73999977,3811.12011719,0.0,3811.12011719,Estimated,-0.0,1.77999997,14.31999969,-5.80000019,-1.45000005,20.62000084,-5.78000021,-2.07999992,,,1.2139546,8.89,98.6,74,PULL,NEUTRAL,PULL
2022-11-29 17:12:44,Rok,SW XXIO eleven,Sand Wedge,53.89199857,4.98,-15.94,0.45,16.39,53.13599942,0.98597196,27.47999954,-1.63,3637.15161133,-655.73760986,3695.79003906,Estimated,10.22000027,2.5999999,18.35000038,-0.81999999,-0.25999999,23.5,-0.63999999,-0.25999999,,,1.2139546,8.89,98.6,74,STRAIGHT,FADE,STRAIGHT_FADE
